experiment_id,label,scope,endpoint,panel_delta,panel_sign,panel_holm_adjusted_p,panel_holm_significant,reviewer_a_delta,reviewer_b_delta,reviewer_c_delta,reviewer_delta_min,reviewer_delta_max,reviewer_delta_range,all_reviewers_same_direction,all_reviewers_and_panel_same_direction,reviewer_holm_significant_n,panel_and_all_reviewers_holm_robust_same_direction,provenance
E10,supervisor_effect_sequential,ALL,clinical_complete,0.0075,positive,0.90625,False,0.0075,0.0075,0.0075,0.0075,0.0075,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,ALL,compatible_partial,0.0,zero,1.0,False,0.0,0.0,0.005,0.0,0.005,0.005,False,False,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,ALL,complete_or_compatible_partial,0.0075,positive,0.629058837890625,False,0.0075,0.0075,0.0125,0.0075,0.0125,0.005000000000000001,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,DA,clinical_complete,0.01,positive,1.0,False,0.01,0.01,0.01,0.01,0.01,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,DA,compatible_partial,0.0,zero,1.0,False,0.0,0.0,0.01,0.0,0.01,0.01,False,False,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,DA,complete_or_compatible_partial,0.01,positive,0.75390625,False,0.01,0.01,0.02,0.01,0.02,0.01,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,MCR,clinical_complete,0.005,positive,1.0,False,0.005,0.005,0.005,0.005,0.005,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,MCR,compatible_partial,0.0,zero,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E10,supervisor_effect_sequential,MCR,complete_or_compatible_partial,0.005,positive,1.0,False,0.005,0.005,0.005,0.005,0.005,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,ALL,clinical_complete,0.005,positive,1.0,False,0.005,0.005,0.005,0.005,0.005,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,ALL,compatible_partial,0.03,positive,0.02508544921875,True,0.03,0.0275,0.025,0.025,0.03,0.0049999999999999975,True,True,2,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,ALL,complete_or_compatible_partial,0.035,positive,0.015460968017578125,True,0.035,0.0325,0.03,0.03,0.035,0.0050000000000000044,True,True,2,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,DA,clinical_complete,0.005,positive,1.0,False,0.005,0.005,0.005,0.005,0.005,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,DA,compatible_partial,0.035,positive,0.392578125,False,0.035,0.035,0.035,0.035,0.035,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,DA,complete_or_compatible_partial,0.04,positive,0.2314453125,False,0.04,0.04,0.04,0.04,0.04,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,MCR,clinical_complete,0.005,positive,1.0,False,0.005,0.005,0.005,0.005,0.005,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,MCR,compatible_partial,0.025,positive,0.375,False,0.025,0.02,0.015,0.015,0.025,0.010000000000000002,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_hard_negative_context,MCR,complete_or_compatible_partial,0.03,positive,0.421875,False,0.03,0.025,0.02,0.02,0.03,0.009999999999999998,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_random_context,ALL,clinical_complete,0.0075,positive,1.0,False,0.0075,0.0075,0.0075,0.0075,0.0075,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E11,refine_effect_with_random_context,ALL,compatible_partial,0.015,positive,0.3515625,False,0.01,0.015,0.0125,0.01,0.015,0.004999999999999999,True,True,0,False,model_reviewer_perturbation_not_root
