reviewer_id,experiment_id,arm_id,endpoint,n_ita,n_served,positive_n,rate_ita,provenance
reviewer_a,E6x,flat_facts_padded,compatible_partial,300,255,65,0.21666666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6x,flat_facts_padded,complete_or_compatible_partial,300,255,131,0.43666666666666665,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6x,flat_facts_unpadded,clinical_complete,300,258,66,0.22,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6x,flat_facts_unpadded,compatible_partial,300,258,59,0.19666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E6x,flat_facts_unpadded,complete_or_compatible_partial,300,258,125,0.4166666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,exact_synonym,clinical_complete,400,399,62,0.155,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,exact_synonym,compatible_partial,400,399,170,0.425,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,exact_synonym,complete_or_compatible_partial,400,399,232,0.58,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,legacy_substring,clinical_complete,400,399,52,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,legacy_substring,compatible_partial,400,399,181,0.4525,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,legacy_substring,complete_or_compatible_partial,400,399,233,0.5825,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,typed_relation,clinical_complete,400,399,64,0.16,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,typed_relation,compatible_partial,400,399,167,0.4175,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7b,typed_relation,complete_or_compatible_partial,400,399,231,0.5775,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,bounded_inheritance,clinical_complete,299,297,48,0.1605351170568562,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,bounded_inheritance,compatible_partial,299,297,132,0.4414715719063545,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,bounded_inheritance,complete_or_compatible_partial,299,297,180,0.6020066889632107,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,directional_relation,clinical_complete,299,297,48,0.1605351170568562,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,directional_relation,compatible_partial,299,297,123,0.411371237458194,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,directional_relation,complete_or_compatible_partial,299,297,171,0.5719063545150501,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,exact_control,clinical_complete,299,299,50,0.16722408026755853,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,exact_control,compatible_partial,299,299,124,0.41471571906354515,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,exact_control,complete_or_compatible_partial,299,299,174,0.5819397993311036,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,generic_non_equivalence,clinical_complete,299,296,48,0.1605351170568562,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,generic_non_equivalence,compatible_partial,299,296,127,0.42474916387959866,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E7c,generic_non_equivalence,complete_or_compatible_partial,299,296,175,0.5852842809364549,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E8,atemporal_hard_veto,clinical_complete,220,193,33,0.15,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E8,atemporal_hard_veto,compatible_partial,220,193,65,0.29545454545454547,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E8,atemporal_hard_veto,complete_or_compatible_partial,220,193,98,0.44545454545454544,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E8,time_scope_soft_invalid_time,clinical_complete,220,125,27,0.12272727272727273,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E8,time_scope_soft_invalid_time,compatible_partial,220,125,38,0.17272727272727273,individual_blinded_model_reviewer_sensitivity_not_root
